ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
806;276736000411;SEVILLA;IE JORGE ELIECER GAITAN SEDE SANTA CATALINA (D.I);1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
807;;SEVILLA;I.E SANTA TERESITA SEDE GENERAL SANTANDER SATELITA SAN ANTONIO;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
808;276736000313;SEVILLA;I.E SANTA TERESITA SEDE COLOMBIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
809;276736001425;SEVILLA;I.E. SANTA TERESITA SEDE GENERAL SANTANDER;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
810;276736000305;SEVILLA;IE SANTA TERESITA SEDE MERCEDES ABREGO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
811;;SEVILLA;I.E. MARIA AUXILIADORA SEDE MIRADOR;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;GEORREFERENCIADA;
812;276736000321;SEVILLA;I.E MARIA AUXILIADORA SEDE MARIA AUXILIADORA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
813;276736000381;SEVILLA;I.E. BENJAMIN HERRERA SEDE SANTA LUCIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
814;276736001522;SEVILLA;IE HERACLIO URIBE URIBE SEDE ARTURO PIEDRAHITA (D.I);1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
815;276736000623;SEVILLA;I.E MARIA AUXILIADORA SEDE SIMON BOLIVAR;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
816;276736000674;SEVILLA;I.E MARIA AUXILIADORA SEDE JOSE MARIA CARBONEL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
817;276736000208;SEVILLA;I.E. SANTA TERESITA SEDE JOSE ANTONIO GALAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
818;276736000437;SEVILLA;IE SANTA TERESITA SEDE LA MAGDALENA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
819;276736000453;SEVILLA;I.E. SANTA TERESITA SEDE SANTA MONICA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
820;276736000445;SEVILLA;I.E. SANTA TERESITA SEDE LA BETULIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
821;276736000275;SEVILLA;I.E SANTA TERESITA SEDE LA TRINIDA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
822;276823000231;TORO;I.E TECNICO AGROPECUARIO TORO SEDE CAICEDO Y CUERVO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
823;276823000265;TORO;I.E TECNICA AGROPECUARIA TORO SEDE JUAN XXIII;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
824;276823000249;TORO;I.E TECNICA AGROPECUARIA SEDE JOSE MARIA CORDOBA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
825;276823000494;TORO;I.E TECNICA AGROPECUARIA SEDE MARIANO OSPINA PEREZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
826;276823000125;TORO;I.E TECNICO AGROPECUARIO TORO SEDE CRISTOBAL COLON;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
827;276823000184;TORO;I.E TECNICA AGROPECUARIA TORO SEDE CAMILO TORRES;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
828;276823000222;TORO;I.E TECNICA AGROPECUARIA TORO SEDE GUILLERMO LEON VALENCIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
